Metrics,Num_Neighbors,PCA_Components,N_Random_States,Score
minkowski,4,15,15,0.67
minkowski,4,15,20,0.63
minkowski,4,20,1,0.78
minkowski,4,20,2,0.68
minkowski,4,20,3,0.67
minkowski,4,20,5,0.7
minkowski,4,20,10,0.67
minkowski,4,20,15,0.68
minkowski,4,20,20,0.64
minkowski,4,25,1,0.73
minkowski,4,25,2,0.69
minkowski,4,25,3,0.66
minkowski,4,25,5,0.75
minkowski,4,25,10,0.72
minkowski,4,25,15,0.72
minkowski,4,25,20,0.63
minkowski,4,30,1,0.73
minkowski,4,30,2,0.67
minkowski,4,30,3,0.66
minkowski,4,30,5,0.71
minkowski,4,30,10,0.73
minkowski,4,30,15,0.7
minkowski,4,30,20,0.67
minkowski,4,35,1,0.72
minkowski,4,35,2,0.7
minkowski,4,35,3,0.67
minkowski,4,35,5,0.67
minkowski,4,35,10,0.76
minkowski,4,35,15,0.7
minkowski,4,35,20,0.61
minkowski,4,40,1,0.73
minkowski,4,40,2,0.69
minkowski,4,40,3,0.66
minkowski,4,40,5,0.69
minkowski,4,40,10,0.77
minkowski,4,40,15,0.71
minkowski,4,40,20,0.66
minkowski,4,45,1,0.71
minkowski,4,45,2,0.7
minkowski,4,45,3,0.68
minkowski,4,45,5,0.71
minkowski,4,45,10,0.79
minkowski,4,45,15,0.71
minkowski,4,45,20,0.66
minkowski,4,50,1,0.73
minkowski,4,50,2,0.71
minkowski,4,50,3,0.69
minkowski,4,50,5,0.71
minkowski,4,50,10,0.8
minkowski,4,50,15,0.7
minkowski,4,50,20,0.67
minkowski,4,55,1,0.75
minkowski,4,55,2,0.72
minkowski,4,55,3,0.68
minkowski,4,55,5,0.71
minkowski,4,55,10,0.77
minkowski,4,55,15,0.72
minkowski,4,55,20,0.69
minkowski,4,60,1,0.76
minkowski,4,60,2,0.7
minkowski,4,60,3,0.68
minkowski,4,60,5,0.71
minkowski,4,60,10,0.78
minkowski,4,60,15,0.71
minkowski,4,60,20,0.67
minkowski,4,65,1,0.76
minkowski,4,65,2,0.7
minkowski,4,65,3,0.69
minkowski,4,65,5,0.72
minkowski,4,65,10,0.78
minkowski,4,65,15,0.73
minkowski,4,65,20,0.68
minkowski,4,70,1,0.76
minkowski,4,70,2,0.7
minkowski,4,70,3,0.67
minkowski,4,70,5,0.73
minkowski,4,70,10,0.78
minkowski,4,70,15,0.71
minkowski,4,70,20,0.68
minkowski,4,75,1,0.76
minkowski,4,75,2,0.7
minkowski,4,75,3,0.68
minkowski,4,75,5,0.72
minkowski,4,75,10,0.77
minkowski,4,75,15,0.72
minkowski,4,75,20,0.69
minkowski,5,0,1,0.76
minkowski,5,0,2,0.68
minkowski,5,0,3,0.7
minkowski,5,0,5,0.67
minkowski,5,0,10,0.72
minkowski,5,0,15,0.69
minkowski,5,0,20,0.66
minkowski,5,3,1,0.54
minkowski,5,3,2,0.47
minkowski,5,3,3,0.53
minkowski,5,3,5,0.48
minkowski,5,3,10,0.51
minkowski,5,3,15,0.47
minkowski,5,3,20,0.47
minkowski,5,4,1,0.57
minkowski,5,4,2,0.42
minkowski,5,4,3,0.52
minkowski,5,4,5,0.56
minkowski,5,4,10,0.52
minkowski,5,4,15,0.54
minkowski,5,4,20,0.54
minkowski,5,5,1,0.61
minkowski,5,5,2,0.55
minkowski,5,5,3,0.6
minkowski,5,5,5,0.55
minkowski,5,5,10,0.58
minkowski,5,5,15,0.57
minkowski,5,5,20,0.52
minkowski,5,6,1,0.65
minkowski,5,6,2,0.55
minkowski,5,6,3,0.61
minkowski,5,6,5,0.53
minkowski,5,6,10,0.59
minkowski,5,6,15,0.59
minkowski,5,6,20,0.49
minkowski,5,7,1,0.69
minkowski,5,7,2,0.62
minkowski,5,7,3,0.67
minkowski,5,7,5,0.6
minkowski,5,7,10,0.58
minkowski,5,7,15,0.64
minkowski,5,7,20,0.59
minkowski,5,8,1,0.72
minkowski,5,8,2,0.64
minkowski,5,8,3,0.7
minkowski,5,8,5,0.6
minkowski,5,8,10,0.61
minkowski,5,8,15,0.62
minkowski,5,8,20,0.63
minkowski,5,9,1,0.74
minkowski,5,9,2,0.63
minkowski,5,9,3,0.64
minkowski,5,9,5,0.62
minkowski,5,9,10,0.65
minkowski,5,9,15,0.62
minkowski,5,9,20,0.65
minkowski,5,10,1,0.74
minkowski,5,10,2,0.68
minkowski,5,10,3,0.66
minkowski,5,10,5,0.66
minkowski,5,10,10,0.66
minkowski,5,10,15,0.61
minkowski,5,10,20,0.66
minkowski,5,13,1,0.73
minkowski,5,13,2,0.68
minkowski,5,13,3,0.67
minkowski,5,13,5,0.7
minkowski,5,13,10,0.65
minkowski,5,13,15,0.64
minkowski,5,13,20,0.68
minkowski,5,15,1,0.74
minkowski,5,15,2,0.69
minkowski,5,15,3,0.68
minkowski,5,15,5,0.67
minkowski,5,15,10,0.66
minkowski,5,15,15,0.68
minkowski,5,15,20,0.65
minkowski,5,20,1,0.78
minkowski,5,20,2,0.67
minkowski,5,20,3,0.66
minkowski,5,20,5,0.68
minkowski,5,20,10,0.69
minkowski,5,20,15,0.71
minkowski,5,20,20,0.63
minkowski,5,25,1,0.77
minkowski,5,25,2,0.68
minkowski,5,25,3,0.69
minkowski,5,25,5,0.75
minkowski,5,25,10,0.72
minkowski,5,25,15,0.72
minkowski,5,25,20,0.66
minkowski,5,30,1,0.77
minkowski,5,30,2,0.68
minkowski,5,30,3,0.66
minkowski,5,30,5,0.72
minkowski,5,30,10,0.73
minkowski,5,30,15,0.69
minkowski,5,30,20,0.64
minkowski,5,35,1,0.75
minkowski,5,35,2,0.66
minkowski,5,35,3,0.65
minkowski,5,35,5,0.68
minkowski,5,35,10,0.74
minkowski,5,35,15,0.7
minkowski,5,35,20,0.64
minkowski,5,40,1,0.75
minkowski,5,40,2,0.66
minkowski,5,40,3,0.69
minkowski,5,40,5,0.69
minkowski,5,40,10,0.74
minkowski,5,40,15,0.7
minkowski,5,40,20,0.62
minkowski,5,45,1,0.75
minkowski,5,45,2,0.7
minkowski,5,45,3,0.68
minkowski,5,45,5,0.69
minkowski,5,45,10,0.75
minkowski,5,45,15,0.68
minkowski,5,45,20,0.63
minkowski,5,50,1,0.76
minkowski,5,50,2,0.69
minkowski,5,50,3,0.72
minkowski,5,50,5,0.71
minkowski,5,50,10,0.74
minkowski,5,50,15,0.69
minkowski,5,50,20,0.62
minkowski,5,55,1,0.75
minkowski,5,55,2,0.7
minkowski,5,55,3,0.7
minkowski,5,55,5,0.7
minkowski,5,55,10,0.73
minkowski,5,55,15,0.71
minkowski,5,55,20,0.62
minkowski,5,60,1,0.76
minkowski,5,60,2,0.7
minkowski,5,60,3,0.7
minkowski,5,60,5,0.71
minkowski,5,60,10,0.75
minkowski,5,60,15,0.69
minkowski,5,60,20,0.63
minkowski,5,65,1,0.76
minkowski,5,65,2,0.68
minkowski,5,65,3,0.68
minkowski,5,65,5,0.71
minkowski,5,65,10,0.74
minkowski,5,65,15,0.68
minkowski,5,65,20,0.62
minkowski,5,70,1,0.75
minkowski,5,70,2,0.68
minkowski,5,70,3,0.69
minkowski,5,70,5,0.7
minkowski,5,70,10,0.73
minkowski,5,70,15,0.67
minkowski,5,70,20,0.62
minkowski,5,75,1,0.76
minkowski,5,75,2,0.68
minkowski,5,75,3,0.7
minkowski,5,75,5,0.68
minkowski,5,75,10,0.74
minkowski,5,75,15,0.69
minkowski,5,75,20,0.63
minkowski,6,0,1,0.77
minkowski,6,0,2,0.72
minkowski,6,0,3,0.71
minkowski,6,0,5,0.72
minkowski,6,0,10,0.71
minkowski,6,0,15,0.68
minkowski,6,0,20,0.69
minkowski,6,3,1,0.56
minkowski,6,3,2,0.49
minkowski,6,3,3,0.52
minkowski,6,3,5,0.43
minkowski,6,3,10,0.58
minkowski,6,3,15,0.44
minkowski,6,3,20,0.52
minkowski,6,4,1,0.57
minkowski,6,4,2,0.46
minkowski,6,4,3,0.51
minkowski,6,4,5,0.56
minkowski,6,4,10,0.56
minkowski,6,4,15,0.56
minkowski,6,4,20,0.55
minkowski,6,5,1,0.6
minkowski,6,5,2,0.55
minkowski,6,5,3,0.57
minkowski,6,5,5,0.56
minkowski,6,5,10,0.56
minkowski,6,5,15,0.55
minkowski,6,5,20,0.48
minkowski,6,6,1,0.65
minkowski,6,6,2,0.6
minkowski,6,6,3,0.59
minkowski,6,6,5,0.58
minkowski,6,6,10,0.56
minkowski,6,6,15,0.57
minkowski,6,6,20,0.55
minkowski,6,7,1,0.73
minkowski,6,7,2,0.65
minkowski,6,7,3,0.66
minkowski,6,7,5,0.62
minkowski,6,7,10,0.56
minkowski,6,7,15,0.63
minkowski,6,7,20,0.64
minkowski,6,8,1,0.75
minkowski,6,8,2,0.66
minkowski,6,8,3,0.71
minkowski,6,8,5,0.65
minkowski,6,8,10,0.62
minkowski,6,8,15,0.62
minkowski,6,8,20,0.68
minkowski,6,9,1,0.75
minkowski,6,9,2,0.67
minkowski,6,9,3,0.68
minkowski,6,9,5,0.66
minkowski,6,9,10,0.64
minkowski,6,9,15,0.61
minkowski,6,9,20,0.68
minkowski,6,10,1,0.75
minkowski,6,10,2,0.67
minkowski,6,10,3,0.65
minkowski,6,10,5,0.69
minkowski,6,10,10,0.62
minkowski,6,10,15,0.64
minkowski,6,10,20,0.7
minkowski,6,13,1,0.73
minkowski,6,13,2,0.68
minkowski,6,13,3,0.68
minkowski,6,13,5,0.71
minkowski,6,13,10,0.66
minkowski,6,13,15,0.68
minkowski,6,13,20,0.68
minkowski,6,15,1,0.74
minkowski,6,15,2,0.71
minkowski,6,15,3,0.69
minkowski,6,15,5,0.7
minkowski,6,15,10,0.66
minkowski,6,15,15,0.7
minkowski,6,15,20,0.71
minkowski,6,20,1,0.77
minkowski,6,20,2,0.69
minkowski,6,20,3,0.69
minkowski,6,20,5,0.7
minkowski,6,20,10,0.71
minkowski,6,20,15,0.72
minkowski,6,20,20,0.65
minkowski,6,25,1,0.74
minkowski,6,25,2,0.68
minkowski,6,25,3,0.71
minkowski,6,25,5,0.71
minkowski,6,25,10,0.68
minkowski,6,25,15,0.73
minkowski,6,25,20,0.64
minkowski,6,30,1,0.76
minkowski,6,30,2,0.67
minkowski,6,30,3,0.72
minkowski,6,30,5,0.72
minkowski,6,30,10,0.72
minkowski,6,30,15,0.74
minkowski,6,30,20,0.62
minkowski,6,35,1,0.76
minkowski,6,35,2,0.68
minkowski,6,35,3,0.71
minkowski,6,35,5,0.69
minkowski,6,35,10,0.71
minkowski,6,35,15,0.73
minkowski,6,35,20,0.66
minkowski,6,40,1,0.76
minkowski,6,40,2,0.71
minkowski,6,40,3,0.71
minkowski,6,40,5,0.71
minkowski,6,40,10,0.73
minkowski,6,40,15,0.74
minkowski,6,40,20,0.66
minkowski,6,45,1,0.74
minkowski,6,45,2,0.72
minkowski,6,45,3,0.69
minkowski,6,45,5,0.71
minkowski,6,45,10,0.73
